zip,state_code,state,population,county
31018,GA,Georgia,2673,Washington
31072,GA,Georgia,1278,Wilcox
31213,GA,Georgia,0,Bibb
31302,GA,Georgia,7794,Effingham
31548,GA,Georgia,21680,Camden
31631,GA,Georgia,456,Clinch
31639,GA,Georgia,9943,Berrien
31701,GA,Georgia,18699,Dougherty
31788,GA,Georgia,9434,Colquitt
31796,GA,Georgia,1082,Worth
31823,GA,Georgia,857,Harris
31901,GA,Georgia,6181,Muscogee
32033,FL,Florida,4676,St. Johns
32102,FL,Florida,2283,Lake
32113,FL,Florida,5216,Marion
32224,FL,Florida,44058,Duval
32346,FL,Florida,1933,Wakulla
32348,FL,Florida,12935,Taylor
32413,FL,Florida,14805,Bay
32641,FL,Florida,14959,Alachua
32683,FL,Florida,268,Levy
32735,FL,Florida,4728,Lake
32738,FL,Florida,45611,Volusia
32962,FL,Florida,26459,Indian River
32967,FL,Florida,22319,Indian River
33001,FL,Florida,331,Monroe
33069,FL,Florida,28138,Broward
33411,FL,Florida,72546,Palm Beach
33434,FL,Florida,20486,Palm Beach
33476,FL,Florida,8513,Palm Beach
33538,FL,Florida,4728,Sumter
33565,FL,Florida,17864,Hillsborough
33634,FL,Florida,22719,Hillsborough
33805,FL,Florida,25529,Polk
33873,FL,Florida,14162,Hardee
33982,FL,Florida,10391,Charlotte
34222,FL,Florida,11659,Manatee
34449,FL,Florida,3192,Levy
34698,FL,Florida,38720,Pinellas
34762,FL,Florida,544,Lake
34950,FL,Florida,16603,St. Lucie
34984,FL,Florida,16035,St. Lucie
35131,AL,Alabama,4696,St. Clair
35160,AL,Alabama,25999,Talladega
35171,AL,Alabama,3254,Chilton
35173,AL,Alabama,27514,Jefferson
35175,AL,Alabama,5289,Marshall
35222,AL,Alabama,8989,Jefferson
35226,AL,Alabama,35331,Jefferson
35234,AL,Alabama,5063,Jefferson
35474,AL,Alabama,6617,Hale
35542,AL,Alabama,920,Fayette
35614,AL,Alabama,7050,Limestone
35756,AL,Alabama,13855,Limestone
35775,AL,Alabama,1095,Morgan
35953,AL,Alabama,7519,St. Clair
35975,AL,Alabama,629,DeKalb
36022,AL,Alabama,13003,Elmore
36031,AL,Alabama,185,Macon
36047,AL,Alabama,1084,Lowndes
36319,AL,Alabama,2200,Houston
36340,AL,Alabama,5718,Geneva
36442,AL,Alabama,3356,Covington
36454,AL,Alabama,8,Conecuh
36512,AL,Alabama,39,Mobile
36611,AL,Alabama,5817,Mobile
36784,AL,Alabama,7181,Clarke
36790,AL,Alabama,89,Chilton
37010,TN,Tennessee,4966,Montgomery
37080,TN,Tennessee,7394,Davidson
37095,TN,Tennessee,2685,DeKalb
37134,TN,Tennessee,3063,Humphreys
37142,TN,Tennessee,1941,Montgomery
37303,TN,Tennessee,24866,McMinn
37333,TN,Tennessee,580,Polk
37357,TN,Tennessee,5139,Warren
37370,TN,Tennessee,4972,McMinn
37394,TN,Tennessee,86,Warren
37709,TN,Tennessee,4060,Grainger
37723,TN,Tennessee,924,Cumberland
37830,TN,Tennessee,29479,Anderson
37885,TN,Tennessee,6015,Monroe
37890,TN,Tennessee,7255,Jefferson
37923,TN,Tennessee,31614,Knox
38002,TN,Tennessee,40430,Shelby
38015,TN,Tennessee,2385,Tipton
38023,TN,Tennessee,6466,Tipton
38105,TN,Tennessee,5915,Shelby
38120,TN,Tennessee,14956,Shelby
38125,TN,Tennessee,38131,Shelby
38231,TN,Tennessee,1646,Henry
38357,TN,Tennessee,2762,McNairy
38369,TN,Tennessee,1692,Gibson
38587,TN,Tennessee,1387,White
38617,MS,Mississippi,695,Coahoma
38618,MS,Mississippi,12258,Tate
38661,MS,Mississippi,1783,Marshall
38721,MS,Mississippi,974,Sharkey
38756,MS,Mississippi,6197,Washington
38768,MS,Mississippi,118,Sunflower
38966,MS,Mississippi,925,Tallahatchie
39063,MS,Mississippi,3867,Holmes
39069,MS,Mississippi,5290,Jefferson
39180,MS,Mississippi,32336,Warren
39481,MS,Mississippi,1536,Jasper
39641,MS,Mississippi,3624,Walthall
39663,MS,Mississippi,2947,Lawrence
39736,MS,Mississippi,229,Lowndes
39737,MS,Mississippi,287,Webster
40006,KY,Kentucky,4956,Trimble
40041,KY,Kentucky,379,Jefferson
40440,KY,Kentucky,2261,Boyle
40442,KY,Kentucky,951,Lincoln
40513,KY,Kentucky,11163,Fayette
40729,KY,Kentucky,5161,Laurel
40856,KY,Kentucky,722,Bell
40863,KY,Kentucky,604,Harlan
41034,KY,Kentucky,788,Mason
41179,KY,Kentucky,7535,Lewis
41274,KY,Kentucky,387,Johnson
41701,KY,Kentucky,16093,Perry
41775,KY,Kentucky,41,Leslie
41831,KY,Kentucky,693,Knott
41862,KY,Kentucky,835,Knott
42054,KY,Kentucky,850,Calloway
42133,KY,Kentucky,1369,Monroe
42157,KY,Kentucky,720,Monroe
42339,KY,Kentucky,829,Muhlenberg
42368,KY,Kentucky,1303,Ohio
42453,KY,Kentucky,622,Hopkins
42567,KY,Kentucky,5610,Pulaski
42647,KY,Kentucky,3806,McCreary
42716,KY,Kentucky,1566,Larue
42753,KY,Kentucky,790,Adair
43030,OH,Ohio,108,Licking
43116,OH,Ohio,1863,Pickaway
43204,OH,Ohio,42796,Franklin
43358,OH,Ohio,2771,Logan
43433,OH,Ohio,72,Ottawa
43515,OH,Ohio,8254,Fulton
43548,OH,Ohio,693,Henry
43557,OH,Ohio,3216,Williams
43725,OH,Ohio,20249,Guernsey
43735,OH,Ohio,440,Muskingum
43756,OH,Ohio,4669,Morgan
43767,OH,Ohio,856,Muskingum
43783,OH,Ohio,5352,Perry
43788,OH,Ohio,663,Noble
43944,OH,Ohio,2495,Jefferson
44001,OH,Ohio,21142,Lorain
44081,OH,Ohio,7137,Lake
44092,OH,Ohio,16812,Lake
44260,OH,Ohio,13054,Portage
44445,OH,Ohio,3610,Columbiana
44473,OH,Ohio,3287,Trumbull
